curve,tenor,pay_freq,daycount,par_coupon_%
AA,6M,Semiann,Act/360,4.2324728906148525
AA,6M,Semiann,Act/365F,4.291257236317835
AA,6M,Semiann,Act/Act ISDA,4.291257236317835
AA,6M,Semiann,Act/Act AFB,4.291257236317835
AA,6M,Semiann,30/360 Bond,4.303014105458432
AA,6M,Semiann,30E/360,4.303014105458432
AA,6M,Semiann,Act/Act ICMA,4.303014105458432
AA,12M,Monthly,Act/360,4.199126759013146
AA,12M,Monthly,Act/365F,4.257447963999439
AA,12M,Monthly,Act/Act ISDA,4.257447963999439
AA,12M,Monthly,Act/Act AFB,4.257447963999439
AA,12M,Monthly,30/360 Bond,4.257638972183235
AA,12M,Monthly,30E/360,4.257638972183235
AA,12M,Monthly,Act/Act ICMA,4.257335953874597
AA,12M,Quarterly,Act/360,4.214123276054631
AA,12M,Quarterly,Act/365F,4.272652765999833
AA,12M,Quarterly,Act/Act ISDA,4.272652765999834
AA,12M,Quarterly,Act/Act AFB,4.272652765999833
AA,12M,Quarterly,30/360 Bond,4.2727186678318505
AA,12M,Quarterly,30E/360,4.2727186678318505
AA,12M,Quarterly,Act/Act ICMA,4.2727186678318505
AA,12M,Semiann,Act/360,4.2368263518666565
AA,12M,Semiann,Act/365F,4.295671162309248
AA,12M,Semiann,Act/Act ISDA,4.295671162309248
AA,12M,Semiann,Act/Act AFB,4.295671162309248
AA,12M,Semiann,30/360 Bond,4.295795999643834
AA,12M,Semiann,30E/360,4.295795999643834
AA,12M,Semiann,Act/Act ICMA,4.295795999643834
AA,12M,Annual,Act/360,4.28237405938699
AA,12M,Annual,Act/365F,4.3418514768784755
AA,12M,Annual,Act/Act ISDA,4.3418514768784755
AA,12M,Annual,Act/Act AFB,4.3418514768784755
AA,12M,Annual,30/360 Bond,4.3418514768784755
AA,12M,Annual,30E/360,4.3418514768784755
AA,12M,Annual,Act/Act ICMA,4.3418514768784755
AA,24M,Monthly,Act/360,4.324057284648889
AA,24M,Monthly,Act/365F,4.384113635824567
AA,24M,Monthly,Act/Act ISDA,4.386983221750574
AA,24M,Monthly,Act/Act AFB,4.384589965803798
AA,24M,Monthly,30/360 Bond,4.390130849629621
AA,24M,Monthly,30E/360,4.390130849629621
AA,24M,Monthly,Act/Act ICMA,4.3898789244291265
AA,24M,Quarterly,Act/360,4.339946794218606
AA,24M,Quarterly,Act/365F,4.400223833027198
AA,24M,Quarterly,Act/Act ISDA,4.403103754151625
AA,24M,Quarterly,Act/Act AFB,4.401679662366564
AA,24M,Quarterly,30/360 Bond,4.406153309554373
AA,24M,Quarterly,30E/360,4.406153309554373
AA,24M,Quarterly,Act/Act ICMA,4.406153309554373
AA,24M,Semiann,Act/360,4.363968586574592
AA,24M,Semiann,Act/365F,4.424579261388128
AA,24M,Semiann,Act/Act ISDA,4.427474839969363
AA,24M,Semiann,Act/Act AFB,4.427506856483044
AA,24M,Semiann,30/360 Bond,4.430571236269736
AA,24M,Semiann,30E/360,4.430571236269736
AA,24M,Semiann,Act/Act ICMA,4.430571236269736
AA,24M,Annual,Act/360,4.412348759854103
AA,24M,Annual,Act/365F,4.473631381518742
AA,24M,Annual,Act/Act ISDA,4.476591539843289
AA,24M,Annual,Act/Act AFB,4.479621167002662
AA,24M,Annual,30/360 Bond,4.479621167002662
AA,24M,Annual,30E/360,4.479621167002662
AA,24M,Annual,Act/Act ICMA,4.479621167002662
A,1M,Monthly,Act/360,4.014821471049169
A,1M,Monthly,Act/365F,4.070582880369297
A,1M,Monthly,Act/Act ISDA,4.070582880369297
